CALVP,CAIC,Loveland,39.67472,-105.8939,11890,Loveland Pass CO US,0
LBAC2,SNOTEL,Loveland,39.67,-105.9,11400,Loveland Basin CO US,0
CAABM,A-BasinSA,Loveland,39.63227,-105.8691,11660,A-Basin SA-MidMtn CO US,2
CAABT,A-BasinSA,Loveland,39.62455,-105.8763,12462,A-Basin SA-Summit CO US,2
CAABP,A-BasinSA,Loveland,39.63334,-105.8787,11920,A-Basin SA-Pali CO US,0
CALT9,LovelandSA,Loveland,39.67352,-105.9260,12700,Loveland SA - Top #9,0
GZPC2,SNOTEL,Loveland,39.65,-105.87,11101,Grizzly Peak CO US,0
CABTP,CAIC,Berthoud,39.80194,-105.7839,11861,Berthoud Pass CO US,0
BTSC2,SNOTEL,Berthoud,39.8,-105.78,11300,Berthoud Summit CO US,0
K0CO,METAR,Berthoud,39.8,-105.77,12490,Berthoud Pass,0
JNPC2,SNOTEL,Berthoud,39.76,-105.91,10400,Jones Pass CO US,0
CAVLP,CAIC,I-70,39.57861,-106.2472,10250,Vail Pass - CDOT Yard CO US,0
CPMC2,SNOTEL,I-70,39.49,-106.17,10501,Copper Mountain CO US,0
KCCU,METAR,I-70,39.47,-106.15,12074,Copper Mountain,0
VLMC2,SNOTEL,I-70,39.62,-106.38,10300,Vail Mountain CO US,0
CD143,CODOT,I-70,39.677696,-105.938416,11072,EJT West Portal (070E214),0
CD141,CODOT,I-70,39.701797,-105.861191,10342,Hermans Gulch (070W218),0
CD140,CODOT,I-70,39.692207,-105.808655,9825,Bakerville (070W221),0
CACMP,CAIC,Cameron,40.49371,-105.9083,10574,Cameron Pass CO US,0
JWRC2,SNOTEL,Cameron,40.53,-105.89,10121,Joe Wright CO US,0
NEVC2,SNOTEL,Cameron,40.4,-105.96,10281,Never Summer CO US,0
WLLC2,SNOTEL,Cameron,40.35,-106.09,9540,Willow Creek Pass CO US,0
USBTP,USGS,Berthoud,39.80366,-105.77784,11314,Berthoud Pass CO US,0
CO126,CDOT,I-70,39.67770,-105.93842,11126,EJT West Portal,0
CO157,CDOT,I-70,39.67404,-105.96587,10610,1.7 mi W of EJMT - Upper RTR,0
CO159,CDOT,I-70,39.66201,-105.98270,10208,2.9 mi W of EJMT - The Box,0
